ID_Customer,Cluster
466132,0
466152,0
466154,5
466204,4
466211,0
466212,0
466317,0
466320,3
466339,0
466394,0
466402,0
466410,4
466412,4
466487,0
466492,0
466554,3
466557,0
466577,0
466579,1
466581,4
466596,3
466607,4
466639,0
466665,4
466741,5
466787,3
466790,0
466802,1
466826,2
466830,1
466835,4
466840,0
466850,0
466875,0
466900,0
466953,0
466967,3
466984,0
467009,0
467010,0
467013,0
467070,0
467087,0
467142,0
467166,3
467173,3
467215,0
467219,3
467223,0
467263,5
467282,0
467364,1
467380,0
467384,0
467434,5
467491,2
467493,0
467547,1
467576,0
467578,2
467635,0
467655,0
467662,5
467670,4
467702,3
467766,0
467804,0
467825,1
467834,1
467859,3
467903,0
467914,5
467921,1
468005,3
468052,4
468071,3
468076,4
468090,0
468121,5
468136,3
468177,0
468271,0
468329,0
468470,0
468515,4
468563,0
468613,5
468689,3
468742,0
468752,0
468761,0
468772,1
468800,1
468896,1
468911,4
468944,0
469028,0
469039,5
469099,1
469188,0
469219,0
469296,0
469306,2
469320,0
469340,3
469362,4
469397,0
469399,3
469413,0
469481,5
469556,0
469559,0
469560,1
469598,2
469662,4
469667,0
469710,0
469740,0
469752,2
469772,0
469775,3
469780,0
469784,0
469830,0
469832,3
469839,2
469935,0
469948,0
469952,2
469961,0
469976,0
470030,3
470102,2
470144,0
470155,4
470181,3
470209,4
470237,4
470240,1
470249,0
470339,0
470353,0
470372,0
470574,4
470577,0
470735,0
470752,5
470756,0
470782,0
470817,1
470931,0
470996,3
471056,0
471060,1
471073,1
471108,0
471166,0
471179,3
471229,4
471249,0
471263,0
471307,3
471313,0
471326,0
471399,4
471409,1
471428,0
471441,0
471466,2
471488,2
471491,0
471519,5
471604,3
471638,0
471645,0
471655,3
471685,1
471752,0
471811,0
471836,2
471872,0
471920,0
471964,4
471979,0
471990,0
471994,3
472002,0
472014,0
472115,2
472188,2
472230,4
472240,3
472243,5
472260,5
472296,0
472330,4
472378,3
472407,0
472472,0
472479,0
472517,0
472533,2
472632,3
472645,1
472715,2
472716,0
472717,3
472742,1
472784,0
472834,2
472841,0
472843,3
472869,4
472943,0
472970,4
473030,3
473055,4
473061,4
473066,4
473144,3
473158,5
473182,5
473387,0
473414,4
473439,4
473475,0
473486,0
473490,0
473622,5
473631,3
473647,3
473656,0
473674,0
473722,0
473730,0
473792,0
473837,0
473839,0
473862,0
473903,0
473956,4
474068,0
474086,0
474097,3
474107,0
474224,0
474270,0
474275,0
474299,0
474351,5
474382,0
474396,0
474397,3
474408,0
474488,0
474499,0
474523,0
474565,1
474597,3
474648,0
474697,1
474705,0
474747,3
474765,0
474766,4
474801,0
474805,4
474906,0
474949,1
474954,0
474988,0
475088,0
475129,0
475216,5
475243,0
475271,0
475284,0
475285,0
475345,2
475492,2
475525,4
475548,0
475561,0
475602,0
475681,0
475699,0
475716,0
475724,0
475774,4
475817,4
475950,5
476010,4
476011,2
476024,3
476041,3
476074,0
476079,0
476095,0
476107,2
476124,0
476158,0
476163,0
476226,0
476290,3
476346,0
476362,4
476381,0
476392,0
476397,3
476558,5
476564,3
476565,1
476612,3
476655,0
476708,0
476745,2
476759,0
476788,5
476872,3
476903,0
476958,2
476959,1
476964,0
477013,0
477053,4
477183,3
477206,0
477244,3
477254,0
477258,0
477260,0
477281,0
477302,0
477315,0
477333,1
477364,3
477409,0
477435,0
477439,0
477442,0
477466,0
477497,0
477513,0
477515,1
477539,0
477556,0
477623,5
477689,1
477693,4
477762,1
477807,0
477855,1
477900,4
477916,3
477961,3
